,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
22,Switzerland,,,,,0,0,0,0,0,0,2020-02-13T00:00:00Z
23,Switzerland,,,,,0,0,0,0,0,0,2020-02-14T00:00:00Z
24,Switzerland,,,,,0,0,0,0,0,0,2020-02-15T00:00:00Z
25,Switzerland,,,,,0,0,0,0,0,0,2020-02-16T00:00:00Z
26,Switzerland,,,,,0,0,0,0,0,0,2020-02-17T00:00:00Z
27,Switzerland,,,,,0,0,0,0,0,0,2020-02-18T00:00:00Z
28,Switzerland,,,,,0,0,0,0,0,0,2020-02-19T00:00:00Z
29,Switzerland,,,,,0,0,0,0,0,0,2020-02-20T00:00:00Z
30,Switzerland,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Switzerland,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Switzerland,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Switzerland,,,,,0,0,0,0,0,0,2020-02-24T00:00:00Z
34,Switzerland,,,,,0,0,1,0,0,1,2020-02-25T00:00:00Z
35,Switzerland,,,,,0,0,1,0,0,1,2020-02-26T00:00:00Z
36,Switzerland,,,,,0,0,8,0,0,8,2020-02-27T00:00:00Z
37,Switzerland,,,,,0,0,8,0,0,8,2020-02-28T00:00:00Z
38,Switzerland,,,,,0,0,18,0,0,18,2020-02-29T00:00:00Z
39,Switzerland,,,,,0,0,27,0,0,27,2020-03-01T00:00:00Z
40,Switzerland,,,,,0,0,42,0,0,42,2020-03-02T00:00:00Z
41,Switzerland,,,,,0,0,56,0,2,54,2020-03-03T00:00:00Z
42,Switzerland,,,,,0,0,90,0,3,87,2020-03-04T00:00:00Z
43,Switzerland,,,,,0,0,114,1,3,110,2020-03-05T00:00:00Z
44,Switzerland,,,,,0,0,214,1,3,210,2020-03-06T00:00:00Z
45,Switzerland,,,,,0,0,268,1,3,264,2020-03-07T00:00:00Z
46,Switzerland,,,,,0,0,337,2,3,332,2020-03-08T00:00:00Z
47,Switzerland,,,,,0,0,374,2,3,369,2020-03-09T00:00:00Z
48,Switzerland,,,,,0,0,491,3,3,485,2020-03-10T00:00:00Z
49,Switzerland,,,,,0,0,652,4,4,644,2020-03-11T00:00:00Z
50,Switzerland,,,,,0,0,652,4,4,644,2020-03-12T00:00:00Z
51,Switzerland,,,,,0,0,1139,11,4,1124,2020-03-13T00:00:00Z
52,Switzerland,,,,,0,0,1359,13,4,1342,2020-03-14T00:00:00Z
53,Switzerland,,,,,0,0,2200,14,4,2182,2020-03-15T00:00:00Z
54,Switzerland,,,,,0,0,2200,14,4,2182,2020-03-16T00:00:00Z
55,Switzerland,,,,,0,0,2700,27,4,2669,2020-03-17T00:00:00Z
56,Switzerland,,,,,0,0,3028,28,15,2985,2020-03-18T00:00:00Z
57,Switzerland,,,,,0,0,4075,41,15,4019,2020-03-19T00:00:00Z
58,Switzerland,,,,,0,0,5294,54,15,5225,2020-03-20T00:00:00Z
59,Switzerland,,,,,0,0,6575,75,15,6485,2020-03-21T00:00:00Z
60,Switzerland,,,,,0,0,7474,98,131,7245,2020-03-22T00:00:00Z
61,Switzerland,,,,,0,0,8795,120,131,8544,2020-03-23T00:00:00Z
62,Switzerland,,,,,0,0,9877,122,131,9624,2020-03-24T00:00:00Z
63,Switzerland,,,,,0,0,10897,153,131,10613,2020-03-25T00:00:00Z
64,Switzerland,,,,,0,0,11811,191,131,11489,2020-03-26T00:00:00Z
65,Switzerland,,,,,0,0,12928,231,1530,11167,2020-03-27T00:00:00Z
66,Switzerland,,,,,0,0,14076,264,1530,12282,2020-03-28T00:00:00Z
67,Switzerland,,,,,0,0,14829,300,1595,12934,2020-03-29T00:00:00Z
68,Switzerland,,,,,0,0,15922,359,1823,13740,2020-03-30T00:00:00Z
69,Switzerland,,,,,0,0,16605,433,1823,14349,2020-03-31T00:00:00Z
70,Switzerland,,,,,0,0,17768,488,2967,14313,2020-04-01T00:00:00Z
71,Switzerland,,,,,0,0,18827,536,4013,14278,2020-04-02T00:00:00Z
72,Switzerland,,,,,0,0,19606,591,4846,14169,2020-04-03T00:00:00Z
73,Switzerland,,,,,0,0,20505,666,6415,13424,2020-04-04T00:00:00Z
74,Switzerland,,,,,0,0,21100,715,6415,13970,2020-04-05T00:00:00Z
75,Switzerland,,,,,0,0,21657,765,8056,12836,2020-04-06T00:00:00Z
76,Switzerland,,,,,0,0,22253,821,8704,12728,2020-04-07T00:00:00Z
77,Switzerland,,,,,0,0,23280,895,9800,12585,2020-04-08T00:00:00Z
78,Switzerland,,,,,0,0,24051,948,10600,12503,2020-04-09T00:00:00Z
79,Switzerland,,,,,0,0,24551,1002,11100,12449,2020-04-10T00:00:00Z
80,Switzerland,,,,,0,0,25107,1036,12100,11971,2020-04-11T00:00:00Z
81,Switzerland,,,,,0,0,25415,1106,12700,11609,2020-04-12T00:00:00Z
82,Switzerland,,,,,0,0,25688,1138,13700,10850,2020-04-13T00:00:00Z
83,Switzerland,,,,,0,0,25936,1174,13700,11062,2020-04-14T00:00:00Z
84,Switzerland,,,,,0,0,26336,1239,15400,9697,2020-04-15T00:00:00Z
85,Switzerland,,,,,0,0,26732,1281,15900,9551,2020-04-16T00:00:00Z
86,Switzerland,,,,,0,0,27078,1327,16400,9351,2020-04-17T00:00:00Z
87,Switzerland,,,,,0,0,27404,1368,17100,8936,2020-04-18T00:00:00Z
88,Switzerland,,,,,0,0,27740,1393,17800,8547,2020-04-19T00:00:00Z
89,Switzerland,,,,,0,0,27944,1429,18600,7915,2020-04-20T00:00:00Z
90,Switzerland,,,,,0,0,28063,1478,19400,7185,2020-04-21T00:00:00Z
91,Switzerland,,,,,0,0,28268,1509,19900,6859,2020-04-22T00:00:00Z
92,Switzerland,,,,,0,0,28496,1549,20600,6347,2020-04-23T00:00:00Z
93,Switzerland,,,,,0,0,28677,1589,21000,6088,2020-04-24T00:00:00Z
94,Switzerland,,,,,0,0,28894,1599,21300,5995,2020-04-25T00:00:00Z
95,Switzerland,,,,,0,0,29061,1610,21800,5651,2020-04-26T00:00:00Z
96,Switzerland,,,,,0,0,29164,1665,22200,5299,2020-04-27T00:00:00Z
97,Switzerland,,,,,0,0,29264,1699,22600,4965,2020-04-28T00:00:00Z
98,Switzerland,,,,,0,0,29407,1716,22600,5091,2020-04-29T00:00:00Z
99,Switzerland,,,,,0,0,29586,1737,23400,4449,2020-04-30T00:00:00Z
100,Switzerland,,,,,0,0,29705,1754,23900,4051,2020-05-01T00:00:00Z
101,Switzerland,,,,,0,0,29817,1762,24200,3855,2020-05-02T00:00:00Z
102,Switzerland,,,,,0,0,29905,1762,24500,3643,2020-05-03T00:00:00Z
103,Switzerland,,,,,0,0,29981,1784,25200,2997,2020-05-04T00:00:00Z
104,Switzerland,,,,,0,0,30009,1795,25400,2814,2020-05-05T00:00:00Z
105,Switzerland,,,,,0,0,30060,1805,25700,2555,2020-05-06T00:00:00Z
106,Switzerland,,,,,0,0,30126,1810,25900,2416,2020-05-07T00:00:00Z
107,Switzerland,,,,,0,0,30207,1823,26100,2284,2020-05-08T00:00:00Z
108,Switzerland,,,,,0,0,30251,1830,26400,2021,2020-05-09T00:00:00Z
109,Switzerland,,,,,0,0,30305,1833,26600,1872,2020-05-10T00:00:00Z
110,Switzerland,,,,,0,0,30344,1845,26800,1699,2020-05-11T00:00:00Z
