,Country,CountryCode,Province,City,CityCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date
30,Oman,,,,,0,0,0,0,0,0,2020-02-21T00:00:00Z
31,Oman,,,,,0,0,0,0,0,0,2020-02-22T00:00:00Z
32,Oman,,,,,0,0,0,0,0,0,2020-02-23T00:00:00Z
33,Oman,,,,,0,0,2,0,0,2,2020-02-24T00:00:00Z
34,Oman,,,,,0,0,2,0,0,2,2020-02-25T00:00:00Z
35,Oman,,,,,0,0,4,0,0,4,2020-02-26T00:00:00Z
36,Oman,,,,,0,0,4,0,0,4,2020-02-27T00:00:00Z
37,Oman,,,,,0,0,4,0,0,4,2020-02-28T00:00:00Z
38,Oman,,,,,0,0,6,0,1,5,2020-02-29T00:00:00Z
39,Oman,,,,,0,0,6,0,1,5,2020-03-01T00:00:00Z
40,Oman,,,,,0,0,6,0,1,5,2020-03-02T00:00:00Z
41,Oman,,,,,0,0,12,0,2,10,2020-03-03T00:00:00Z
42,Oman,,,,,0,0,15,0,2,13,2020-03-04T00:00:00Z
43,Oman,,,,,0,0,16,0,2,14,2020-03-05T00:00:00Z
44,Oman,,,,,0,0,16,0,2,14,2020-03-06T00:00:00Z
45,Oman,,,,,0,0,16,0,2,14,2020-03-07T00:00:00Z
46,Oman,,,,,0,0,16,0,2,14,2020-03-08T00:00:00Z
47,Oman,,,,,0,0,16,0,2,14,2020-03-09T00:00:00Z
48,Oman,,,,,0,0,18,0,9,9,2020-03-10T00:00:00Z
49,Oman,,,,,0,0,18,0,9,9,2020-03-11T00:00:00Z
50,Oman,,,,,0,0,18,0,9,9,2020-03-12T00:00:00Z
51,Oman,,,,,0,0,19,0,9,10,2020-03-13T00:00:00Z
52,Oman,,,,,0,0,19,0,9,10,2020-03-14T00:00:00Z
53,Oman,,,,,0,0,22,0,9,13,2020-03-15T00:00:00Z
54,Oman,,,,,0,0,22,0,9,13,2020-03-16T00:00:00Z
55,Oman,,,,,0,0,24,0,9,15,2020-03-17T00:00:00Z
56,Oman,,,,,0,0,39,0,12,27,2020-03-18T00:00:00Z
57,Oman,,,,,0,0,48,0,12,36,2020-03-19T00:00:00Z
58,Oman,,,,,0,0,48,0,12,36,2020-03-20T00:00:00Z
59,Oman,,,,,0,0,52,0,12,40,2020-03-21T00:00:00Z
60,Oman,,,,,0,0,55,0,17,38,2020-03-22T00:00:00Z
61,Oman,,,,,0,0,66,0,17,49,2020-03-23T00:00:00Z
62,Oman,,,,,0,0,84,0,17,67,2020-03-24T00:00:00Z
63,Oman,,,,,0,0,99,0,17,82,2020-03-25T00:00:00Z
64,Oman,,,,,0,0,109,0,23,86,2020-03-26T00:00:00Z
65,Oman,,,,,0,0,131,0,23,108,2020-03-27T00:00:00Z
66,Oman,,,,,0,0,152,0,23,129,2020-03-28T00:00:00Z
67,Oman,,,,,0,0,167,0,23,144,2020-03-29T00:00:00Z
68,Oman,,,,,0,0,179,0,29,150,2020-03-30T00:00:00Z
69,Oman,,,,,0,0,192,1,34,157,2020-03-31T00:00:00Z
70,Oman,,,,,0,0,210,1,34,175,2020-04-01T00:00:00Z
71,Oman,,,,,0,0,231,1,57,173,2020-04-02T00:00:00Z
72,Oman,,,,,0,0,252,1,57,194,2020-04-03T00:00:00Z
73,Oman,,,,,0,0,277,2,61,214,2020-04-04T00:00:00Z
74,Oman,,,,,0,0,298,2,61,235,2020-04-05T00:00:00Z
75,Oman,,,,,0,0,331,2,61,268,2020-04-06T00:00:00Z
76,Oman,,,,,0,0,371,2,67,302,2020-04-07T00:00:00Z
77,Oman,,,,,0,0,419,2,72,345,2020-04-08T00:00:00Z
78,Oman,,,,,0,0,457,3,109,345,2020-04-09T00:00:00Z
79,Oman,,,,,0,0,484,3,109,372,2020-04-10T00:00:00Z
80,Oman,,,,,0,0,546,3,109,434,2020-04-11T00:00:00Z
81,Oman,,,,,0,0,599,4,109,486,2020-04-12T00:00:00Z
82,Oman,,,,,0,0,727,4,124,599,2020-04-13T00:00:00Z
83,Oman,,,,,0,0,813,4,130,679,2020-04-14T00:00:00Z
84,Oman,,,,,0,0,910,4,131,775,2020-04-15T00:00:00Z
85,Oman,,,,,0,0,1019,4,176,839,2020-04-16T00:00:00Z
86,Oman,,,,,0,0,1069,6,176,887,2020-04-17T00:00:00Z
87,Oman,,,,,0,0,1180,6,176,998,2020-04-18T00:00:00Z
88,Oman,,,,,0,0,1266,7,233,1026,2020-04-19T00:00:00Z
89,Oman,,,,,0,0,1410,7,238,1165,2020-04-20T00:00:00Z
90,Oman,,,,,0,0,1508,8,238,1262,2020-04-21T00:00:00Z
91,Oman,,,,,0,0,1614,8,238,1368,2020-04-22T00:00:00Z
92,Oman,,,,,0,0,1716,9,307,1400,2020-04-23T00:00:00Z
93,Oman,,,,,0,0,1790,10,325,1455,2020-04-24T00:00:00Z
94,Oman,,,,,0,0,1905,10,329,1566,2020-04-25T00:00:00Z
95,Oman,,,,,0,0,1998,10,333,1655,2020-04-26T00:00:00Z
96,Oman,,,,,0,0,2049,10,364,1675,2020-04-27T00:00:00Z
97,Oman,,,,,0,0,2131,10,364,1757,2020-04-28T00:00:00Z
98,Oman,,,,,0,0,2274,10,364,1900,2020-04-29T00:00:00Z
